,Region,CountryName,Year,Series,Value
0,2,Africa,2005,Population mid-year estimates (millions),916.1543
1,2,Africa,2010,Population mid-year estimates (millions),1039.3039999999999
2,2,Africa,2017,Population mid-year estimates (millions),1244.2223
3,2,Africa,2017,Surface area (thousand km2),30311.0
4,2,Africa,2019,Population mid-year estimates (millions),1308.0642
5,15,Northern Africa,2005,Population mid-year estimates (millions),186.4213
6,15,Northern Africa,2010,Population mid-year estimates (millions),202.9403
7,15,Northern Africa,2017,Population mid-year estimates (millions),232.7932
8,15,Northern Africa,2017,Surface area (thousand km2),7880.0
9,15,Northern Africa,2019,Population mid-year estimates (millions),241.7808
10,202,Sub-Saharan Africa,2005,Population mid-year estimates (millions),729.7330000000001
11,202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),836.3638
12,202,Sub-Saharan Africa,2017,Population mid-year estimates (millions),1011.4291
13,202,Sub-Saharan Africa,2017,Surface area (thousand km2),22431.0
14,202,Sub-Saharan Africa,2019,Population mid-year estimates (millions),1066.2834
15,14,Eastern Africa,2005,Population mid-year estimates (millions),295.1854
16,14,Eastern Africa,2010,Population mid-year estimates (millions),339.3178
17,14,Eastern Africa,2017,Population mid-year estimates (millions),411.3967
18,14,Eastern Africa,2017,Surface area (thousand km2),7005.0
19,14,Eastern Africa,2019,Population mid-year estimates (millions),433.9049
20,17,Middle Africa,2005,Population mid-year estimates (millions),112.0083
21,17,Middle Africa,2010,Population mid-year estimates (millions),131.6221
22,17,Middle Africa,2017,Population mid-year estimates (millions),164.03900000000002
23,17,Middle Africa,2017,Surface area (thousand km2),6613.0
24,17,Middle Africa,2019,Population mid-year estimates (millions),174.3084
25,18,Southern Africa,2005,Population mid-year estimates (millions),54.6447
26,18,Southern Africa,2010,Population mid-year estimates (millions),58.3834
27,18,Southern Africa,2017,Population mid-year estimates (millions),64.8338
28,18,Southern Africa,2017,Surface area (thousand km2),2675.0
29,18,Southern Africa,2019,Population mid-year estimates (millions),66.6299
30,11,Western Africa,2005,Population mid-year estimates (millions),267.8946
31,11,Western Africa,2010,Population mid-year estimates (millions),307.0404
32,11,Western Africa,2017,Population mid-year estimates (millions),371.1595
33,11,Western Africa,2017,Surface area (thousand km2),6138.0
34,11,Western Africa,2019,Population mid-year estimates (millions),391.4402
35,19,Americas,2005,Population mid-year estimates (millions),884.7882
36,19,Americas,2010,Population mid-year estimates (millions),934.6398
37,19,Americas,2017,Population mid-year estimates (millions),998.1754
38,19,Americas,2017,Surface area (thousand km2),42322.0
39,19,Americas,2019,Population mid-year estimates (millions),1014.7219
40,21,Northern America,2005,Population mid-year estimates (millions),327.2872
41,21,Northern America,2010,Population mid-year estimates (millions),343.2874
42,21,Northern America,2017,Population mid-year estimates (millions),361.9423
43,21,Northern America,2017,Surface area (thousand km2),21776.0
44,21,Northern America,2019,Population mid-year estimates (millions),366.601
45,419,Latin America & the Caribbean,2005,Population mid-year estimates (millions),557.501
46,419,Latin America & the Caribbean,2010,Population mid-year estimates (millions),591.3524
47,419,Latin America & the Caribbean,2017,Population mid-year estimates (millions),636.2331
48,419,Latin America & the Caribbean,2017,Surface area (thousand km2),20546.0
49,419,Latin America & the Caribbean,2019,Population mid-year estimates (millions),648.121
50,29,Caribbean,2005,Population mid-year estimates (millions),39.7458
51,29,Caribbean,2010,Population mid-year estimates (millions),41.2174
52,29,Caribbean,2017,Population mid-year estimates (millions),43.0024
53,29,Caribbean,2017,Surface area (thousand km2),234.0
54,29,Caribbean,2019,Population mid-year estimates (millions),43.335
55,13,Central America,2005,Population mid-year estimates (millions),145.9505
56,13,Central America,2010,Population mid-year estimates (millions),157.5913
57,13,Central America,2017,Population mid-year estimates (millions),173.3268
58,13,Central America,2017,Surface area (thousand km2),2480.0
59,13,Central America,2019,Population mid-year estimates (millions),177.5865
60,5,South America,2005,Population mid-year estimates (millions),371.8047
61,5,South America,2010,Population mid-year estimates (millions),392.5437
62,5,South America,2017,Population mid-year estimates (millions),419.9039
63,5,South America,2017,Surface area (thousand km2),17832.0
64,5,South America,2019,Population mid-year estimates (millions),427.1994
65,142,Asia,2005,Population mid-year estimates (millions),3977.9865
66,142,Asia,2010,Population mid-year estimates (millions),4209.5937
